id;nom;pays;region;localite;remontees;km_pistes;bas_m;sommet_m;lat;lon;site_officiel_connu;page_tarifs_trouvee;manque;raison;photo_url;photo_legende;forfait_jour_adulte;devise;periode;source;note
be-dousberg;Dousberg;Belgique;Limburg;Veldwezelt;0;0;;;50.85589;5.64461;http://www.skibaan-dousberg.nl/;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
be-snowworld-antwerpen;SnowWorld Antwerpen;Belgique;Antwerpen;Antwerp;2;0.2;18;20;51.16009;4.37366;https://www.snowworld.com/antwerpen/nl;;photo;site injoignable (400);;;;;;;
bg-420053m246894;"писта х. ""Здравец"" - малка";Bulgarie;Plovdiv;;1;0.2;1214;1256;42.00526;24.68941;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
bg-dobrinishte;Dobrinishte;Bulgarie;Blagoevgrad;;4;4.1;1486;2226;41.74683;23.53587;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
bg-malyovista;Malyovista;Bulgarie;Sofia;;5;4.1;1708;1974;42.20989;23.39192;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
bg-ophelii;Офелиите, Ophelii;Bulgarie;Sofiya;;2;0;1533;1545;42.59924;23.23474;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
bg-pamporovo;Pamporovo;Bulgarie;Smolyan;;13;23.5;1454;1931;41.64388;24.67234;https://pamporovo.me/;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
bg-panichishte;Panichishte;Bulgarie;Kyustendil;;2;0;1591;2092;42.22951;23.32046;https://rilskiezera.bg/;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
bg-semkovo;Semkovo;Bulgarie;Blagoevgrad;;6;2.7;1500;1772;42.04358;23.53654;https://semkovo.com/;;photo;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
bg-vitosha;Vitosha;Bulgarie;Sofiya;;5;15.5;1519;2245;42.57615;23.29184;https://www.skivitosha.com/;https://www.skivitosha.com/summer/information/prices;photo et forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
